draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta1.1,beta1.2,beta1.3,beta1.4,beta1.5,beta1.6,beta1.7,beta1.8,beta1.9,beta1.10,beta1.11,beta1.12,alpha,noise_var
1771,219.31215480273175,0.9799023197311851,0.09639360725096661,4.0,15.0,0.0,-210.7725024411745,0.41288793614826885,0.43648194927826345,0.6743636757645007,0.5326508556124108,0.5448748598539287,0.3115237103214005,0.4030490179305572,0.47971128024397686,0.44749483393367673,0.607684126390804,0.48619961374325094,0.538604393773208,0.5131674178705423,0.013304816614134332
1772,216.36769412129826,0.16215750195436401,0.11776663328442276,4.0,15.0,0.0,-212.3005870077988,0.40425705105485327,0.45860698512593473,0.5920520862381995,0.5630347633888988,0.5216504697434362,0.3361408030134003,0.3690561662520521,0.539813667280651,0.5059466674023303,0.6469095712613117,0.5754869454418873,0.5103567960324902,0.4943561035342655,0.016688657293722847
1773,220.9690672002829,0.9991588147236705,0.052221017393700386,5.0,63.0,0.0,-215.5838752660899,0.4686114524194268,0.4703737478334174,0.6747679703792373,0.5816153376701049,0.5718633793172533,0.3400179757483896,0.4035756320608392,0.4913561387620359,0.5135423400703407,0.6583395742681055,0.5423467886905504,0.5007904220925425,0.47164847573079227,0.015183916014727596
1774,213.6019116403881,0.9514174699926284,0.20985579023658457,3.0,7.0,0.0,-210.86560709480415,0.32150295655195754,0.29236286411649987,0.5535274053278023,0.5179756349048442,0.47219080190737145,0.23677596848952867,0.25564557593295395,0.40985463489887414,0.3943001300108415,0.47794681027326824,0.37227091902240034,0.4207932401994404,0.5906215110883948,0.0133431742618948
1775,219.26468590112583,0.8943486777615741,0.09639360725096661,4.0,15.0,0.0,-213.27363274498242,0.38097578078463307,0.4688028296220125,0.6086533946182804,0.5450674054807683,0.5614684194943679,0.362396071747057,0.3894625524859605,0.542177247465736,0.5549771712309475,0.6242998732572209,0.48445801512912934,0.5001942419086179,0.5014849981635463,0.013822492476762326
1776,216.36769412129826,0.009220522817480906,0.11776663328442276,2.0,7.0,0.0,-212.4967086024213,0.40425705105485327,0.45860698512593473,0.5920520862381995,0.5630347633888988,0.5216504697434362,0.3361408030134003,0.3690561662520521,0.539813667280651,0.5059466674023303,0.6469095712613117,0.5754869454418873,0.5103567960324902,0.4943561035342655,0.016688657293722847
1777,220.9337068657582,0.9290820111559588,0.052221017393700386,5.0,31.0,0.0,-216.57116319098483,0.46956958246657843,0.47963712042265333,0.6771802262241169,0.5702008601174183,0.6621835119935101,0.44055362731288855,0.359941594628672,0.5604488240851104,0.5525501037512249,0.6484223107054027,0.5023344598644806,0.5944867190106973,0.4526447823637976,0.015887956639107387
1778,215.83063800891608,1.0,0.20985579023658457,3.0,15.0,0.0,-210.04087648090857,0.32569081103836245,0.2990609552968783,0.5075114449670768,0.3760512219818752,0.4582866572650511,0.267644220127314,0.2691931244963112,0.36468119413082956,0.39855805288353047,0.5537022526525152,0.3932444228931134,0.4373670080635313,0.6172653091538662,0.016329277668082016
1779,219.85404340431506,0.906583044027558,0.09639360725096661,6.0,79.0,0.0,-212.62008328742832,0.4400810143447181,0.3842214145811447,0.5651558177745376,0.5123103044753631,0.5402232241861726,0.30077248510264687,0.3338817402663157,0.4256063677069048,0.43210988340276274,0.6161211474881236,0.4594136337423046,0.4848841421955698,0.5369486169805746,0.015969509178459174
1780,216.36769412129826,0.17578335585572788,0.11776663328442276,2.0,7.0,0.0,-207.21477462802477,0.40425705105485327,0.45860698512593473,0.5920520862381995,0.5630347633888988,0.5216504697434362,0.3361408030134003,0.3690561662520521,0.539813667280651,0.5059466674023303,0.6469095712613117,0.5754869454418873,0.5103567960324902,0.4943561035342655,0.016688657293722847
1781,219.62112702779896,0.9382330648006157,0.052221017393700386,5.0,31.0,0.0,-214.45859268216793,0.4939190695603779,0.530655452301359,0.7140482158010966,0.5435091127195756,0.5974490149307328,0.40378252466661546,0.4727101010197989,0.5822185470949757,0.5728517491006229,0.7055146498163628,0.5083951257924322,0.5893654362877464,0.42868582231554725,0.015776977104544326
1782,217.30407527171513,0.9808541919254877,0.20985579023658457,3.0,15.0,0.0,-211.52833540180623,0.3454671976312003,0.38223834545890173,0.5759791624602035,0.4461335393856181,0.5007223106926467,0.2504699064660937,0.2720364011039656,0.42489969723301246,0.3743915336249961,0.49572994417052074,0.40059987999405405,0.4189820326803075,0.6006411200929528,0.016028371095692866
1783,219.90974329370243,0.9838219596983848,0.09639360725096661,4.0,15.0,0.0,-215.27315825385028,0.37213513194627185,0.4477450270957184,0.655082100190635,0.5154541462576769,0.5753083006670205,0.4127761294129588,0.36419758453597517,0.4480954270858314,0.5164952195869653,0.5869935822182611,0.4717076173605879,0.4955788956647207,0.5145266275339312,0.015427712333959282
1784,215.11729152277655,0.396863112002601,0.11776663328442276,3.0,7.0,0.0,-209.90046924999686,0.4034867747775703,0.4799777689038467,0.5608500266856592,0.5431329434733341,0.534630173464832,0.3355658838038609,0.3588428589845667,0.4793848278901596,0.5528894725056042,0.6660695370918336,0.5565057240295392,0.5419331861513973,0.506952528241949,0.01685643137343115
1785,220.70940004931947,0.9858084485101057,0.052221017393700386,5.0,31.0,0.0,-212.897422234431,0.45119176025700725,0.40536640857248313,0.6509421465887781,0.6062230713268445,0.6247511436198798,0.3922025140341768,0.375823245866723,0.47673715010311407,0.5001035968760024,0.662697077622215,0.5434632766407518,0.5395379362535963,0.48650749523081394,0.014860354307766792
1786,212.13074906283668,0.7424298398712619,0.20985579023658457,3.0,7.0,0.0,-202.71623380580644,0.3099406331612269,0.355910171705254,0.49326219624233564,0.4763962364966563,0.49598423330240843,0.2563924148140557,0.20838999824653925,0.4775586826273336,0.41924232257124483,0.564006724052207,0.4284105938282227,0.44508970483504684,0.574252015456337,0.01692305893936427
1787,222.35665601088868,0.6220692748257355,0.09639360725096661,4.0,15.0,0.0,-217.41914875931926,0.4659532269025208,0.42820175301228586,0.6040012403013539,0.5387095026127152,0.5538307468008157,0.3418435125439525,0.3677230989163012,0.5025191119281016,0.4870307557764351,0.6278680302407812,0.5061875481110465,0.49533262291186403,0.5059759758700785,0.013888031789747507
1788,218.62459834903277,0.3271325744316598,0.11776663328442276,3.0,7.0,0.0,-209.93529905246552,0.3852147986431118,0.431641996372686,0.6458317678797095,0.5547524562984717,0.5770768943126298,0.3879980990016731,0.3900091601360426,0.4548352402226383,0.46954665861901346,0.5574598188282958,0.44332215088081656,0.5500407086251141,0.5017523086102781,0.016081245286265772
1789,219.02441047556408,0.9988734044454125,0.052221017393700386,5.0,31.0,0.0,-216.38583181075973,0.47410314633384143,0.477168516942002,0.6628477454285232,0.482409836592716,0.5341773238614591,0.36853346539370624,0.37268854672346824,0.5022332202879339,0.547020146258138,0.6014209524462745,0.4663204076513607,0.520660530374994,0.5038405617949342,0.015082825368788945
1790,215.84674457016627,0.9296661108016726,0.20985579023658457,3.0,7.0,0.0,-206.66951590327838,0.35082043747549857,0.3441809665972626,0.5688179200184786,0.43350245524120123,0.4397383201386132,0.28013139235507734,0.321690836973078,0.3781976772222925,0.37503908223126714,0.564159725409165,0.4233587718477579,0.43872911884600946,0.6027022409750745,0.017450918082913224
1791,221.9813031614516,0.5254716973189196,0.09639360725096661,4.0,15.0,0.0,-214.79874615163484,0.3955518583787482,0.446834596621355,0.6602624516798502,0.5147824434472439,0.5629265776639913,0.37633147734789224,0.3704772648774839,0.46077559051689654,0.5048105098251469,0.6095125089779704,0.4681135816833288,0.5387736047633761,0.511119445071169,0.013310641926922218
1792,212.7990667384878,0.5799363890013998,0.11776663328442276,3.0,7.0,0.0,-211.54486058944022,0.49155826998098684,0.4070523748952703,0.6056455808939623,0.4765291543686946,0.5714796228033072,0.3373342957428752,0.3642032686722239,0.5122722403589175,0.5210549218228494,0.7008803442952699,0.5443496421181532,0.44440919894217296,0.5126427913675928,0.01730028388094137
1793,221.52437492190532,0.9920533375694166,0.052221017393700386,5.0,63.0,0.0,-216.3738267937139,0.40955169178345746,0.3933634675220597,0.6108670377365134,0.5003060328535294,0.5597066922756014,0.3774263270571667,0.3593075278202532,0.4781283054591843,0.44255602501774727,0.625465253927087,0.4767949528746871,0.48920430485548355,0.5235427154689433,0.01600021663354096
